algorithm_name,env_n,size,best_solution,H,states,time
random,2,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,12849,0.089846
HC,2,8,"[0, 6, 1, 5, 2, 4, 7, 3]",1,169,0.001487
HCR,2,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,2476,0.012406
SA,2,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,352,0.001138
GA,2,8,"[4, 2, 7, 5, 1, 5, 0, 6]",1,20000,40.179045
random,3,8,"[2, 4, 6, 0, 5, 7, 1, 3]",1,20000,0.140195
HC,3,8,"[6, 3, 5, 7, 2, 0, 7, 4]",2,225,0.001362
HCR,3,8,"[6, 1, 5, 2, 0, 3, 7, 4]",0,731,0.004073
SA,3,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,388,0.002262
GA,3,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,14,0.031095
random,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,20000,0.141617
HC,4,8,"[0, 3, 1, 6, 7, 2, 4, 1]",2,225,0.001045
HCR,4,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,5682,0.026296
SA,4,8,"[3, 6, 4, 2, 0, 5, 7, 1]",0,395,0.002089
GA,4,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,5,0.010257
random,5,8,"[1, 1, 6, 0, 2, 7, 5, 3]",1,20000,0.142591
HC,5,8,"[4, 5, 0, 6, 3, 7, 2, 1]",2,169,0.001175
HCR,5,8,"[1, 3, 5, 7, 2, 0, 6, 4]",0,1912,0.009070
SA,5,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,435,0.003114
GA,5,8,"[0, 4, 7, 1, 6, 2, 5, 1]",1,20000,40.954446
random,6,8,"[5, 2, 0, 3, 0, 7, 1, 4]",1,20000,0.141577
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 5]",1,169,0.001062
HCR,6,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,2364,0.011437
SA,6,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,676,0.003066
GA,6,8,"[6, 2, 5, 1, 6, 0, 3, 7]",1,20000,40.932206
random,7,8,"[2, 6, 1, 4, 7, 0, 3, 5]",1,20000,0.166803
HC,7,8,"[4, 2, 6, 3, 1, 7, 5, 0]",1,225,0.001060
HCR,7,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,731,0.004565
SA,7,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,428,0.007720
GA,7,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,55,0.118218
random,8,8,"[7, 6, 3, 0, 4, 1, 5, 2]",1,20000,0.156890
HC,8,8,"[3, 5, 6, 2, 0, 7, 1, 4]",1,225,0.000997
HCR,8,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,450,0.001995
SA,8,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,107,0.000998
GA,8,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,983,2.138843
random,9,8,"[2, 6, 3, 1, 7, 5, 0, 2]",1,20000,0.142693
HC,9,8,"[7, 1, 4, 6, 2, 0, 5, 3]",1,225,0.001067
HCR,9,8,"[5, 3, 0, 4, 7, 1, 6, 2]",0,619,0.002396
SA,9,8,"[3, 5, 0, 4, 1, 7, 2, 6]",0,320,0.002157
GA,9,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,152,0.302776
random,10,8,"[7, 5, 0, 5, 1, 4, 6, 3]",1,20000,0.161038
HC,10,8,"[0, 5, 7, 1, 3, 7, 2, 4]",1,225,0.002000
HCR,10,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,9395,0.041287
SA,10,8,"[0, 6, 4, 7, 1, 3, 5, 2]",0,1348,0.008532
GA,10,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,461,0.909354
random,11,8,"[6, 1, 3, 0, 6, 4, 2, 5]",1,20000,0.142100
HC,11,8,"[4, 0, 5, 3, 1, 7, 2, 2]",1,337,0.001055
HCR,11,8,"[3, 6, 4, 2, 0, 5, 7, 1]",0,4724,0.021867
SA,11,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,971,0.008043
GA,11,8,"[2, 6, 3, 1, 7, 5, 0, 2]",1,20000,41.108652
random,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,20000,0.153499
HC,12,8,"[4, 2, 5, 1, 6, 0, 3, 7]",1,281,0.001031
HCR,12,8,"[5, 3, 0, 4, 7, 1, 6, 2]",0,619,0.003070
SA,12,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,718,0.004061
GA,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,20000,41.269097
random,13,8,"[3, 6, 2, 7, 5, 1, 0, 4]",1,20000,0.140180
HC,13,8,"[4, 4, 1, 3, 6, 3, 7, 2]",2,225,0.001377
HCR,13,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,956,0.005493
SA,13,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,234,0.001519
GA,13,8,"[1, 4, 0, 5, 3, 1, 6, 2]",1,20000,40.881407
