Agente;Tamaño (N×N);Suciedad (%);Suciedad inicial;Celdas limpiadas;Acciones totales;Rendimiento final
YourNameAgent;64;0.1;409;1;21;0
YourNameAgent;64;0.1;409;2;20;0
YourNameAgent;64;0.1;409;1;21;0
YourNameAgent;64;0.2;819;2;17;0
YourNameAgent;64;0.2;819;1;9;0
YourNameAgent;64;0.2;819;1;7;0
YourNameAgent;64;0.2;819;8;36;0
YourNameAgent;64;0.2;819;2;18;0
YourNameAgent;64;0.2;819;8;46;0
YourNameAgent;64;0.2;819;3;18;0
YourNameAgent;64;0.2;819;3;15;0
YourNameAgent;64;0.2;819;3;20;0
YourNameAgent;64;0.2;819;4;19;0
YourNameAgent;64;0.4;1638;6;23;0
YourNameAgent;64;0.4;1638;8;27;0
YourNameAgent;64;0.4;1638;15;51;0
YourNameAgent;64;0.4;1638;9;27;0
YourNameAgent;64;0.4;1638;3;16;0
YourNameAgent;64;0.4;1638;5;14;0
YourNameAgent;64;0.4;1638;5;25;0
YourNameAgent;64;0.4;1638;6;23;0
YourNameAgent;64;0.4;1638;17;64;0
YourNameAgent;64;0.4;1638;3;13;0
YourNameAgent;64;0.8;3276;10;23;0
YourNameAgent;64;0.8;3276;15;32;0
YourNameAgent;64;0.8;3276;9;21;0
YourNameAgent;64;0.8;3276;24;58;0
YourNameAgent;64;0.8;3276;9;18;0
YourNameAgent;64;0.8;3276;12;30;0
YourNameAgent;64;0.8;3276;16;36;0
YourNameAgent;64;0.8;3276;15;33;0
YourNameAgent;64;0.8;3276;34;78;0
YourNameAgent;64;0.8;3276;38;91;0
YourNameAgent;128;0.1;1638;8;83;0
YourNameAgent;128;0.1;1638;9;86;0
YourNameAgent;128;0.1;1638;0;15;0
YourNameAgent;128;0.1;1638;0;0;0
YourNameAgent;128;0.1;1638;12;215;0
YourNameAgent;128;0.1;1638;4;52;0
YourNameAgent;128;0.1;1638;5;46;0
YourNameAgent;128;0.1;1638;8;83;0
YourNameAgent;128;0.1;1638;8;84;0
YourNameAgent;128;0.1;1638;7;84;0
YourNameAgent;128;0.2;3276;11;84;0
YourNameAgent;128;0.2;3276;10;84;0
YourNameAgent;128;0.2;3276;16;84;0
YourNameAgent;128;0.2;3276;14;84;0
YourNameAgent;128;0.2;3276;7;84;0
YourNameAgent;128;0.2;3276;19;78;0
YourNameAgent;128;0.2;3276;3;26;0
YourNameAgent;128;0.2;3276;11;86;0
YourNameAgent;128;0.2;3276;21;152;0
YourNameAgent;128;0.2;3276;14;84;0
YourNameAgent;128;0.4;6553;28;86;0
YourNameAgent;128;0.4;6553;27;87;0
YourNameAgent;128;0.4;6553;27;85;0
YourNameAgent;128;0.4;6553;24;86;0
YourNameAgent;128;0.4;6553;28;88;0
YourNameAgent;128;0.4;6553;24;83;0
YourNameAgent;128;0.4;6553;0;1;0
YourNameAgent;128;0.4;6553;0;0;0
YourNameAgent;128;0.4;6553;0;0;0
YourNameAgent;128;0.4;6553;4;14;0
YourNameAgent;128;0.8;13107;6;13;0
YourNameAgent;128;0.8;13107;0;0;0
YourNameAgent;128;0.8;13107;7;14;0
YourNameAgent;128;0.8;13107;6;14;0
YourNameAgent;128;0.8;13107;12;26;0
YourNameAgent;128;0.8;13107;0;0;0
YourNameAgent;128;0.8;13107;7;15;0
YourNameAgent;128;0.8;13107;9;18;0
YourNameAgent;128;0.8;13107;13;29;0
YourNameAgent;128;0.8;13107;0;0;0
