size,dirtrate,performance,time
8,0.1,6,0.0010001659393310547
8,0.1,6,0.0010004043579101562
8,0.1,3,0.0011112689971923828
8,0.1,5,0.0010006427764892578
8,0.1,4,0.0014653205871582031
8,0.1,8,0.0
8,0.1,4,0.0013780593872070312
8,0.1,5,0.0010089874267578125
8,0.1,5,0.0
8,0.2,14,0.0009999275207519531
8,0.2,11,5.459785461425781e-05
8,0.2,10,0.0010097026824951172
8,0.2,7,0.0010192394256591797
8,0.2,13,0.0
8,0.2,19,0.0010175704956054688
8,0.2,13,0.000797271728515625
8,0.2,9,0.001070261001586914
8,0.2,8,0.001013040542602539
8,0.2,14,0.0
8,0.4,15,6.270408630371094e-05
8,0.4,13,0.0011587142944335938
8,0.4,20,0.0010182857513427734
8,0.4,18,0.0
8,0.4,18,0.0010967254638671875
8,0.4,20,0.0005950927734375
8,0.4,22,0.0010721683502197266
8,0.4,18,0.0010230541229248047
8,0.4,23,0.0
8,0.4,23,0.0010187625885009766
8,0.8,32,0.03571033477783203
8,0.8,44,0.0010006427764892578
8,0.8,45,0.0019989013671875
8,0.8,47,0.0009999275207519531
8,0.8,40,0.0010004043579101562
8,0.8,44,0.002000570297241211
8,0.8,36,0.00099945068359375
8,0.8,40,0.0009999275207519531
8,0.8,39,0.001302480697631836
8,0.8,44,0.0
16,0.1,12,0.0
16,0.1,6,0.0
16,0.1,7,0.0
16,0.1,10,0.0
16,0.1,9,0.016049623489379883
16,0.1,8,0.0
16,0.1,5,0.0
16,0.1,9,0.0
16,0.1,9,0.0
16,0.1,3,0.0
16,0.2,14,0.0
16,0.2,18,0.0
16,0.2,15,0.0
16,0.2,16,0.0
16,0.2,13,0.015820980072021484
16,0.2,25,0.0
16,0.2,18,0.0
16,0.2,16,0.0
16,0.2,13,0.0
16,0.2,20,0.0
16,0.4,34,0.0
16,0.4,34,0.0
16,0.4,37,0.0
16,0.4,36,0.01570415496826172
16,0.4,30,0.0
16,0.4,32,0.0
16,0.4,20,0.0
